2020-07-28 09:13:33,921 SSD INFO: Using 1 GPUs
2020-07-28 09:13:33,921 SSD INFO: Namespace(config_file='configs/vgg_ssd300_voc0712_labels_grid.yaml', distributed=False, eval_step=2500, local_rank=0, log_step=10, num_gpus=1, opts=[], save_step=2500, skip_test=False, use_tensorboard=True)
2020-07-28 09:13:33,921 SSD INFO: Loaded configuration file configs/vgg_ssd300_voc0712_labels_grid.yaml
2020-07-28 09:13:33,921 SSD INFO: 
MODEL:
  NUM_CLASSES: 21
INPUT:
  IMAGE_SIZE: 300
DATASETS:
  TRAIN: ("voc_2007_trainval", "voc_2012_trainval")
  TEST: ("voc_2007_test", )
SOLVER:
  MAX_ITER: 120000
  LR_STEPS: [80000, 100000]
  GAMMA: 0.1
  BATCH_SIZE: 32
  LR: 1e-3

OUTPUT_DIR: 'outputs/vgg_ssd300_voc0712_labels_grid'
2020-07-28 09:13:33,921 SSD INFO: Running with config:
DATASETS:
  TEST: ('voc_2007_test',)
  TRAIN: ('voc_2007_trainval', 'voc_2012_trainval')
DATA_LOADER:
  NUM_WORKERS: 8
  PIN_MEMORY: True
INPUT:
  IMAGE_SIZE: 300
  PIXEL_MEAN: [123, 117, 104]
MODEL:
  BACKBONE:
    NAME: vgg
    OUT_CHANNELS: (512, 1024, 512, 256, 256, 256)
    PRETRAINED: True
  BOX_HEAD:
    NAME: SSDBoxHead
    PREDICTOR: SSDBoxPredictor
  CENTER_VARIANCE: 0.1
  DEVICE: cuda
  META_ARCHITECTURE: SSDDetector
  NEG_POS_RATIO: 3
  NUM_CLASSES: 21
  PRIORS:
    ASPECT_RATIOS: [[2], [2, 3], [2, 3], [2, 3], [2], [2]]
    BOXES_PER_LOCATION: [4, 6, 6, 6, 4, 4]
    CLIP: True
    FEATURE_MAPS: [38, 19, 10, 5, 3, 1]
    MAX_SIZES: [60, 111, 162, 213, 264, 315]
    MIN_SIZES: [30, 60, 111, 162, 213, 264]
    STRIDES: [8, 16, 32, 64, 100, 300]
  SIZE_VARIANCE: 0.2
  THRESHOLD: 0.5
OUTPUT_DIR: outputs/vgg_ssd300_voc0712_labels_grid
SOLVER:
  BATCH_SIZE: 32
  GAMMA: 0.1
  LR: 0.001
  LR_STEPS: [80000, 100000]
  MAX_ITER: 120000
  MOMENTUM: 0.9
  WARMUP_FACTOR: 0.3333333333333333
  WARMUP_ITERS: 500
  WEIGHT_DECAY: 0.0005
TEST:
  BATCH_SIZE: 10
  CONFIDENCE_THRESHOLD: 0.01
  MAX_PER_CLASS: -1
  MAX_PER_IMAGE: 100
  NMS_THRESHOLD: 0.45
2020-07-28 09:13:35,445 SSD.trainer INFO: No checkpoint found.
2020-07-28 09:13:35,458 SSD.trainer INFO: Start training ...
2020-07-28 09:13:55,362 SSD.trainer INFO: iter: 000010, lr: 0.00035, total_loss: 20.509 (20.509), reg_loss: 3.108 (3.108), cls_loss: 17.400 (17.400), time: 1.980 (1.980), eta: 2 days, 18:00:37, mem: 6228M
2020-07-28 09:14:06,083 SSD.trainer INFO: iter: 000020, lr: 0.00036, total_loss: 15.733 (18.121), reg_loss: 2.856 (2.982), cls_loss: 12.877 (15.139), time: 1.072 (1.526), eta: 2 days, 2:52:12, mem: 6228M
2020-07-28 09:14:16,790 SSD.trainer INFO: iter: 000030, lr: 0.00037, total_loss: 15.114 (17.119), reg_loss: 2.829 (2.931), cls_loss: 12.285 (14.187), time: 1.071 (1.374), eta: 1 day, 21:48:16, mem: 6228M
2020-07-28 09:14:27,741 SSD.trainer INFO: iter: 000040, lr: 0.00039, total_loss: 14.265 (16.405), reg_loss: 2.801 (2.899), cls_loss: 11.464 (13.507), time: 1.095 (1.305), eta: 1 day, 19:28:22, mem: 6228M
2020-07-28 09:14:38,398 SSD.trainer INFO: iter: 000050, lr: 0.00040, total_loss: 12.743 (15.673), reg_loss: 2.906 (2.900), cls_loss: 9.837 (12.773), time: 1.066 (1.257), eta: 1 day, 17:52:36, mem: 6228M
2020-07-28 09:14:49,007 SSD.trainer INFO: iter: 000060, lr: 0.00041, total_loss: 10.716 (14.847), reg_loss: 2.758 (2.877), cls_loss: 7.958 (11.970), time: 1.061 (1.224), eta: 1 day, 16:47:08, mem: 6228M
2020-07-28 09:14:59,593 SSD.trainer INFO: iter: 000070, lr: 0.00043, total_loss: 9.658 (14.105), reg_loss: 2.718 (2.854), cls_loss: 6.940 (11.252), time: 1.059 (1.201), eta: 1 day, 15:59:39, mem: 6228M
2020-07-28 09:15:10,160 SSD.trainer INFO: iter: 000080, lr: 0.00044, total_loss: 9.123 (13.483), reg_loss: 2.638 (2.827), cls_loss: 6.484 (10.656), time: 1.057 (1.183), eta: 1 day, 15:23:30, mem: 6228M
2020-07-28 09:15:20,784 SSD.trainer INFO: iter: 000090, lr: 0.00045, total_loss: 8.696 (12.951), reg_loss: 2.612 (2.803), cls_loss: 6.084 (10.148), time: 1.062 (1.169), eta: 1 day, 14:56:38, mem: 6228M
2020-07-28 09:15:31,420 SSD.trainer INFO: iter: 000100, lr: 0.00047, total_loss: 8.424 (12.498), reg_loss: 2.665 (2.789), cls_loss: 5.759 (9.709), time: 1.064 (1.159), eta: 1 day, 14:35:20, mem: 6228M
2020-07-28 09:15:42,076 SSD.trainer INFO: iter: 000110, lr: 0.00048, total_loss: 8.068 (12.095), reg_loss: 2.531 (2.766), cls_loss: 5.537 (9.330), time: 1.066 (1.150), eta: 1 day, 14:18:13, mem: 6228M
2020-07-28 09:15:52,705 SSD.trainer INFO: iter: 000120, lr: 0.00049, total_loss: 7.940 (11.749), reg_loss: 2.511 (2.745), cls_loss: 5.429 (9.005), time: 1.063 (1.143), eta: 1 day, 14:03:31, mem: 6228M
2020-07-28 09:16:03,366 SSD.trainer INFO: iter: 000130, lr: 0.00051, total_loss: 7.667 (11.435), reg_loss: 2.520 (2.727), cls_loss: 5.147 (8.708), time: 1.066 (1.137), eta: 1 day, 13:51:32, mem: 6228M
2020-07-28 09:16:14,013 SSD.trainer INFO: iter: 000140, lr: 0.00052, total_loss: 7.520 (11.155), reg_loss: 2.470 (2.709), cls_loss: 5.050 (8.447), time: 1.065 (1.132), eta: 1 day, 13:41:01, mem: 6228M
2020-07-28 09:16:24,678 SSD.trainer INFO: iter: 000150, lr: 0.00053, total_loss: 7.587 (10.918), reg_loss: 2.522 (2.696), cls_loss: 5.066 (8.221), time: 1.066 (1.127), eta: 1 day, 13:32:08, mem: 6228M
2020-07-28 09:16:35,340 SSD.trainer INFO: iter: 000160, lr: 0.00055, total_loss: 7.511 (10.705), reg_loss: 2.400 (2.678), cls_loss: 5.111 (8.027), time: 1.066 (1.124), eta: 1 day, 13:24:18, mem: 6228M
2020-07-28 09:16:46,039 SSD.trainer INFO: iter: 000170, lr: 0.00056, total_loss: 7.546 (10.519), reg_loss: 2.436 (2.664), cls_loss: 5.110 (7.855), time: 1.070 (1.120), eta: 1 day, 13:17:47, mem: 6228M
2020-07-28 09:16:56,697 SSD.trainer INFO: iter: 000180, lr: 0.00057, total_loss: 7.612 (10.357), reg_loss: 2.412 (2.650), cls_loss: 5.200 (7.708), time: 1.066 (1.117), eta: 1 day, 13:11:32, mem: 6228M
2020-07-28 09:17:07,395 SSD.trainer INFO: iter: 000190, lr: 0.00059, total_loss: 7.826 (10.224), reg_loss: 2.390 (2.636), cls_loss: 5.435 (7.588), time: 1.070 (1.115), eta: 1 day, 13:06:21, mem: 6228M
2020-07-28 09:17:18,067 SSD.trainer INFO: iter: 000200, lr: 0.00060, total_loss: 7.465 (10.086), reg_loss: 2.352 (2.622), cls_loss: 5.114 (7.464), time: 1.067 (1.113), eta: 1 day, 13:01:23, mem: 6228M
2020-07-28 09:17:28,750 SSD.trainer INFO: iter: 000210, lr: 0.00061, total_loss: 7.597 (9.968), reg_loss: 2.371 (2.610), cls_loss: 5.226 (7.358), time: 1.068 (1.110), eta: 1 day, 12:57:00, mem: 6228M
2020-07-28 09:17:39,417 SSD.trainer INFO: iter: 000220, lr: 0.00063, total_loss: 7.650 (9.862), reg_loss: 2.297 (2.596), cls_loss: 5.353 (7.267), time: 1.067 (1.108), eta: 1 day, 12:52:51, mem: 6228M
